"MAE","sample_idx"
0.19734683632850647,558
0.18930205702781677,603
0.18906864523887634,76
0.18775367736816406,486
0.1867906153202057,15
0.1856260448694229,230
0.18154478073120117,245
0.1801164299249649,287
0.1799294650554657,311
0.17874933779239655,887
0.1786394864320755,940
0.17850640416145325,743
0.17816926538944244,215
0.1775180995464325,830
0.17737367749214172,454
0.17727147042751312,523
0.176981121301651,831
0.1767193228006363,797
0.17632274329662323,20
0.175988107919693,21
0.1754395067691803,861
0.1749362200498581,421
0.17489546537399292,410
0.1747063398361206,550
0.17421597242355347,633
0.17419648170471191,777
0.17383268475532532,684
0.17374375462532043,539
0.1735689789056778,886
0.17331905663013458,820
0.17318092286586761,678
0.1727585792541504,62
0.17254076898097992,605
0.1721189171075821,398
0.17207275331020355,612
0.1718285083770752,734
0.17180877923965454,693
0.17092299461364746,918
0.17091627418994904,318
0.17082291841506958,818
0.17053508758544922,326
0.17043134570121765,221
0.1699678599834442,164
0.16970792412757874,186
0.1695297807455063,789
0.16938422620296478,934
0.16922809183597565,119
0.1692095398902893,628
0.1691848337650299,401
0.169096440076828,593
0.1690548211336136,189
0.16891732811927795,725
0.16888149082660675,835
0.1687844693660736,524
0.16843126714229584,819
0.16834035515785217,201
0.16833634674549103,432
0.16823512315750122,829
0.1682032346725464,888
0.16816861927509308,4
0.16812025010585785,682
0.1678590625524521,105
0.16782495379447937,79
0.16762009263038635,404
0.16751857101917267,870
0.16748568415641785,828
0.1672792285680771,713
0.16719333827495575,585
0.1667289286851883,190
0.16662748157978058,876
0.16645975410938263,470
0.16644296050071716,866
0.16641385853290558,407
0.16639795899391174,480
0.1658376157283783,646
0.16577932238578796,923
0.1657712608575821,325
0.16556629538536072,922
0.16544188559055328,901
0.16508862376213074,708
0.1649579554796219,129
0.16483968496322632,37
0.1644916832447052,174
0.1644648313522339,805
0.16439911723136902,335
0.1643625646829605,391
0.16431298851966858,103
0.16420480608940125,81
0.16419717669487,611
0.16408218443393707,722
0.16404789686203003,889
0.16404534876346588,512
0.16392293572425842,920
0.16391123831272125,155
0.16379135847091675,184
0.16378642618656158,289
0.1637505739927292,78
0.16374507546424866,507
0.16365811228752136,249
0.16364482045173645,9
